"Protein_IDs"	"Majority_protein_IDs"	"Peptide_counts_all"	"Peptide_counts_razor_unique"	"Peptide_counts_unique"	"Fasta_headers"	"Number_of_proteins"	"Peptides"	"Razor_unique_peptides"	"Unique_peptides"	"Peptides_D_R1"	"Peptides_D_R2"	"Peptides_D_R3"	"Peptides_E_R1"	"Peptides_E_R2"	"Peptides_E_R3"	"Razor_unique_peptides_D_R1"	"Razor_unique_peptides_D_R2"	"Razor_unique_peptides_D_R3"	"Razor_unique_peptides_E_R1"	"Razor_unique_peptides_E_R2"	"Razor_unique_peptides_E_R3"	"Unique_peptides_D_R1"	"Unique_peptides_D_R2"	"Unique_peptides_D_R3"	"Unique_peptides_E_R1"	"Unique_peptides_E_R2"	"Unique_peptides_E_R3"	"Sequence_coverage"	"Unique_razor_sequence_coverage"	"Unique_sequence_coverage"	"Mol_weight_kDa"	"Sequence_length"	"Sequence_lengths"	"Q_value"	"Identification_type_D_R1"	"Identification_type_D_R2"	"Identification_type_D_R3"	"Identification_type_E_R1"	"Identification_type_E_R2"	"Identification_type_E_R3"	"Sequence_coverage_D_R1"	"Sequence_coverage_D_R2"	"Sequence_coverage_D_R3"	"Sequence_coverage_E_R1...."	"Sequence_coverage_E_R2"	"Sequence_coverage_E_R3"	"Intensity"	"Intensity_D_R1"	"Intensity_D_R2"	"Intensity_D_R3"	"Intensity_E_R1"	"Intensity_E_R2"	"Intensity_E_R3"	"iBAQ"	"iBAQ_D_R1"	"iBAQ_D_R2"	"iBAQ_D_R3"	"iBAQ_E_R1"	"iBAQ_E_R2"	"iBAQ_E_R3"	"LFQ_intensity_D_R1"	"LFQ_intensity_D_R2"	"LFQ.intensity_D_R3"	"LFQ_intensity_E_R1"	"LFQ_intensity_E_R2"	"LFQ_intensity_E_R3"	"MS_MS_Count_D_R1"	"MS_MS_Count_D_R2"	"MS_MS_Count_D_R3"	"MS_MS_Count_E_R1"	"MS_MS_Count_E_R2"	"MS_MS_Count_E_R3"	"MS_MS_Count"	"Only_identified_by_site"	"Reverse"	"Potential_contaminant"	"id"	"Peptide_IDs"	"Peptide_is_razor"	"Mod_peptide_IDs"	"Evidence_IDs"	"MS_MS_IDs"	"Best_MS_MS"	"Oxidation_M_site_IDs"	"Oxidation_M_site_positions"
"O00762"	"O00762upsedyp|UBE2C_HUMAN_upsedyp"	"6"	"6"	"6"	">O00762upsedyp|UBE2C_HUMAN_upsedyp Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)"	1	6	6	6	6	5	5	5	4	3	6	5	5	5	4	3	6	5	5	5	4	3	56.8	56.8	56.8	20.475	185	"185"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	56.8	41.6	41.6	41.6	37.3	25.4	"1160800000"	271430000	248320000	254590000	143830000	115410000	127180000	96729000	22619000	20693000	21215000	11986000	9617100	10598000	275040000	255150000	250410000	133650000	152930000	165570000	7	8	8	5	6	6	40	""	""	""	10	"3530;4253;7156;11552;13376;13413"	"True;True;True;True;True;True"	"3546;4271;7186;11613;13447;13484"	"23757;23758;23759;23760;23761;28364;28365;28366;28367;28368;28369;47679;47680;47681;47682;47683;47684;47685;47686;77092;90019;90020;90021;90022;90245;90246;90247;90248;90249;90250"	"33717;33718;33719;33720;33721;40083;40084;40085;40086;40087;40088;40089;40090;40091;40092;40093;40094;66766;66767;66768;66769;66770;66771;66772;66773;66774;66775;66776;66777;66778;66779;66780;66781;107586;126688;126689;126690;126899;126900;126901;126902;126903;126904;126905"	"33718;40094;66780;107586;126689;126900"	""	""
"O76070"	"O76070upsedyp|SYUG_HUMAN_upsedyp"	"7"	"7"	"7"	">O76070upsedyp|SYUG_HUMAN_upsedyp Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)"	1	7	7	7	7	6	6	6	5	7	7	6	6	6	5	7	7	6	6	6	5	7	47.6	47.6	47.6	15.494	147	"147"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	47.6	47.6	46.9	47.6	46.9	47.6	"1334000000"	343310000	232460000	366070000	134420000	124600000	133110000	133400000	34331000	23246000	36607000	13442000	12460000	13311000	321630000	303600000	323010000	151030000	162650000	152220000	17	12	14	9	8	7	67	""	""	""	11	"2186;2187;2702;2721;11671;11964;11965"	"True;True;True;True;True;True;True"	"2198;2199;2716;2735;11732;12025;12026"	"15077;15078;15079;15080;15081;15082;15083;15084;15085;15086;15087;15088;15089;18267;18268;18269;18399;18400;18401;18402;18403;18404;18405;18406;18407;18408;18409;18410;77871;77872;77873;77874;77875;77876;77877;77878;79854;79855;79856;79857;79858;79859;79860;79861;79862;79863;79864;79865;79866;79867;79868;79869"	"21497;21498;21499;21500;21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512;21513;21514;21515;21516;25979;25980;25981;25982;26140;26141;26142;26143;26144;26145;26146;26147;26148;26149;26150;26151;26152;26153;26154;26155;26156;26157;26158;108780;108781;108782;108783;108784;108785;108786;111509;111510;111511;111512;111513;111514;111515;111516;111517;111518;111519;111520;111521;111522;111523;111524;111525;111526;111527;111528;111529;111530;111531"	"21508;21514;25982;26146;108782;111526;111530"	""	""
"P00167"	"P00167upsedyp|CYB5_HUMAN_upsedyp"	"2"	"2"	"2"	">P00167upsedyp|CYB5_HUMAN_upsedyp Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)"	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	24.3	24.3	24.3	16.153	140	"140"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	24.3	24.3	24.3	24.3	24.3	24.3	"816690000"	163620000	156880000	172610000	101650000	109070000	112840000	136110000	27271000	26147000	28769000	16942000	18179000	18807000	176030000	178080000	186050000	108830000	109040000	103740000	4	4	3	2	4	1	18	""	""	""	12	"2719;3414"	"True;True"	"2733;3429"	"18391;18392;18393;18394;18395;18396;23041;23042;23043;23044;23045;23046;23047;23048;23049;23050;23051"	"26129;26130;26131;26132;26133;26134;26135;26136;26137;32680;32681;32682;32683;32684;32685;32686;32687;32688;32689"	"26135;32681"	""	""
"P00441"	"P00441upsedyp|SODC_HUMAN_upsedyp"	"1"	"1"	"1"	">P00441upsedyp|SODC_HUMAN_upsedyp Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.2	9.2	9.2	15.804	153	"153"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.2	9.2	9.2	9.2	9.2	9.2	"190160000"	44454000	42653000	36597000	25948000	18718000	21793000	23770000	5556800	5331600	4574600	3243500	2339700	2724100	48979000	41504000	0	31478000	0	0	3	1	1	1	1	1	8	""	""	""	13	"3947"	"True"	"3965"	"26354;26355;26356;26357;26358;26359;26360;26361;26362"	"37358;37359;37360;37361;37362;37363;37364;37365"	"37363"	""	""
"P00709"	"P00709upsedyp|LALBA_HUMAN_upsedyp"	"5"	"5"	"5"	">P00709upsedyp|LALBA_HUMAN_upsedyp Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)"	1	5	5	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	5	4	4	5	32.5	32.5	32.5	14.078	123	"123"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	32.5	32.5	32.5	32.5	32.5	32.5	"932790000"	206320000	204820000	202110000	103900000	110180000	105450000	155460000	34387000	34137000	33685000	17317000	18363000	17574000	222010000	233270000	205550000	107540000	112030000	107550000	3	5	5	2	4	5	24	""	""	""	14	"1097;3392;5347;5348;8522"	"True;True;True;True;True"	"1106;3407;5369;5370;8565"	"7999;8000;8001;8002;8003;8004;22894;22895;22896;22897;35583;35584;35585;35586;35587;35588;35589;35590;35591;35592;35593;35594;35595;56712;56713;56714;56715;56716;56717"	"12014;12015;32537;32538;50088;50089;50090;50091;50092;50093;50094;50095;79100;79101;79102;79103;79104;79105;79106;79107;79108;79109;79110;79111"	"12015;32537;50088;50093;79102"	"4"	"90"
"P00915"	"P00915upsedyp|CAH1_HUMAN_upsedyp"	"7"	"7"	"7"	">P00915upsedyp|CAH1_HUMAN_upsedyp Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)"	1	7	7	7	5	5	7	4	5	4	5	5	7	4	5	4	5	5	7	4	5	4	37.7	37.7	37.7	28.739	260	"260"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	28.1	28.1	37.7	23.5	28.1	21.9	"1105400000"	263620000	156380000	310640000	59247000	148030000	167470000	78955000	18830000	11170000	22189000	4231900	10573000	11962000	258660000	257780000	258090000	128560000	125420000	140570000	6	9	9	2	4	5	35	""	""	""	15	"107;820;821;4607;7875;10373;12516"	"True;True;True;True;True;True;True"	"107;828;829;4628;7906;10425;12581"	"775;776;777;778;779;5989;5990;5991;5992;5993;5994;5995;30859;30860;30861;30862;30863;30864;30865;30866;30867;30868;30869;52535;52536;52537;52538;52539;68952;83761;83762;83763;83764;83765;83766"	"1114;1115;1116;1117;9021;9022;9023;9024;9025;9026;9027;9028;9029;9030;9031;9032;9033;43595;43596;43597;43598;43599;43600;43601;43602;43603;73666;73667;73668;95942;117508;117509;117510;117511;117512;117513;117514"	"1114;9021;9033;43600;73667;95942;117511"	"5;6"	"148;241"
"P00918"	"P00918upsedyp|CAH2_HUMAN_upsedyp"	"9"	"9"	"9"	">P00918upsedyp|CAH2_HUMAN_upsedyp Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)"	1	9	9	9	8	9	9	7	7	6	8	9	9	7	7	6	8	9	9	7	7	6	49.8	49.8	49.8	29.114	259	"259"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	40.5	49.8	49.8	37.1	37.1	30.1	"903740000"	172920000	268270000	211460000	81887000	84765000	84443000	69519000	13301000	20636000	16266000	6299000	6520400	6495600	217770000	196720000	221670000	107790000	111070000	112650000	11	10	14	9	8	7	59	""	""	""	16	"991;2706;4093;6235;6615;9547;9824;13109;13538"	"True;True;True;True;True;True;True;True;True"	"1000;2720;4111;6262;6645;9596;9873;13177;13609"	"7232;7233;7234;7235;7236;7237;7238;7239;7240;7241;7242;7243;18292;18293;18294;18295;18296;18297;27323;27324;27325;41471;41472;41473;41474;41475;44086;44087;63433;63434;63435;63436;63437;63438;65369;65370;65371;65372;65373;65374;88157;88158;88159;88160;88161;88162;88163;88164;88165;88166;88167;91044;91045;91046;91047;91048;91049"	"10888;10889;10890;10891;10892;10893;10894;10895;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;26009;38720;58242;58243;58244;58245;58246;61844;61845;61846;88115;88116;88117;88118;88119;88120;88121;90606;90607;90608;90609;90610;90611;90612;90613;123988;123989;123990;123991;123992;123993;123994;123995;123996;123997;123998;123999;127944;127945;127946;127947;127948;127949"	"10888;26009;38720;58243;61846;88118;90610;123988;127945"	"7"	"239"
"P01008"	"P01008upsedyp|ANT3_HUMAN_upsedyp"	"13;2"	"13;2"	"13;2"	">P01008upsedyp|ANT3_HUMAN_upsedyp Antithrombin-III (Chain 33-464) - Homo sapiens (Human)"	2	13	13	13	12	13	13	10	10	9	12	13	13	10	10	9	12	13	13	10	10	9	32.9	32.9	32.9	49.039	432	"432;465"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	32.6	32.9	32.9	24.1	26.9	26.6	"1349700000"	321700000	304910000	334950000	133370000	150030000	104750000	51912000	12373000	11727000	12883000	5129700	5770500	4029000	280490000	290440000	296980000	143680000	154530000	159270000	18	20	21	9	10	9	87	""	""	""	17	"665;859;2744;2950;3094;4635;6987;6988;7933;8328;9784;11824;12108"	"True;True;True;True;True;True;True;True;True;True;True;True;True"	"671;867;2758;2759;2965;3109;4656;7017;7018;7964;8367;8368;9833;11885;12171"	"4748;4749;4750;4751;4752;4753;6239;6240;6241;6242;6243;6244;18555;18556;18557;18558;18559;18560;18561;18562;18563;18564;18565;18566;18567;18568;18569;18570;19834;19835;19836;21151;21152;21153;31053;31054;31055;31056;31057;46541;46542;46543;46544;46545;46546;46547;46548;46549;46550;46551;46552;46553;46554;46555;46556;52929;52930;52931;55434;55435;55436;55437;55438;55439;55440;55441;55442;55443;55444;55445;55446;55447;55448;55449;55450;55451;55452;65052;65053;65054;65055;65056;78783;78784;78785;78786;78787;78788;80884;80885;80886;80887;80888;80889"	"7097;7098;7099;7100;7101;7102;9346;9347;9348;9349;26381;26382;26383;26384;26385;26386;26387;26388;26389;26390;26391;26392;26393;28114;28115;28116;28117;30160;30161;30162;43830;43831;43832;43833;65225;65226;65227;65228;65229;65230;65231;65232;65233;65234;65235;65236;65237;65238;65239;65240;65241;65242;74238;77379;77380;77381;77382;77383;77384;77385;77386;77387;77388;77389;77390;77391;77392;77393;77394;77395;77396;77397;77398;77399;77400;77401;77402;90187;90188;109943;109944;109945;109946;109947;109948;113170;113171;113172;113173;113174;113175;113176;113177;113178;113179;113180;113181;113182;113183;113184"	"7099;9348;26382;28116;30161;43832;65232;65236;74238;77398;90187;109947;113183"	"8;9;10"	"89;338;423"
"P01031"	"P01031upsedyp|CO5_HUMAN_upsedyp"	"2"	"2"	"2"	">P01031upsedyp|CO5_HUMAN_upsedyp Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)"	1	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	40.5	40.5	40.5	8.2736	74	"74"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	40.5	17.6	40.5	17.6	17.6	17.6	"46879000"	15019000	10170000	9905400	5363600	NA	6420900	15626000	5006300	3390000	3301800	1787900	0	2140300	0	0	0	0	0	6330100	2	1	3	1	1	1	9	""	""	""	18	"266;1090"	"True;True"	"271;1099"	"1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;7950;7951"	"2848;2849;2850;2851;2852;2853;2854;11946;11947"	"2852;11947"	""	""
"P01112"	"P01112upsedyp|RASH_HUMAN_upsedyp"	"6"	"6"	"6"	">P01112upsedyp|RASH_HUMAN_upsedyp GTPase HRas (Chain 1-189) - Homo sapiens (Human)"	1	6	6	6	5	5	5	6	5	4	5	5	5	6	5	4	5	5	5	6	5	4	36.5	36.5	36.5	21.298	189	"189"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	28.6	29.6	29.6	36.5	35.4	21.7	"425970000"	97660000	92922000	90220000	42859000	50493000	51817000	42597000	9766000	9292200	9022000	4285900	5049300	5181700	100500000	91747000	101250000	47498000	44341000	52407000	8	8	9	3	3	5	36	""	""	""	19	"1822;6699;9278;11045;11367;11815"	"True;True;True;True;True;True"	"1834;6729;9326;11101;11428;11876"	"12687;12688;12689;44614;44615;44616;44617;44618;61608;61609;61610;61611;61612;61613;73385;73386;73387;73388;73389;73390;73391;73392;73393;73394;75820;75821;75822;75823;75824;75825;78719;78720;78721;78722;78723;78724;78725"	"18248;62557;62558;62559;85850;85851;85852;85853;85854;85855;85856;85857;102353;102354;102355;102356;102357;102358;102359;102360;102361;102362;102363;102364;102365;102366;102367;102368;102369;102370;102371;102372;102373;105709;105710;105711;105712;105713;109842;109843;109844;109845;109846"	"18248;62559;85857;102372;105711;109842"	"11;12"	"111;182"
"P01127"	"P01127upsedyp|PDGFB_HUMAN_upsedyp"	"3"	"3"	"3"	">P01127upsedyp|PDGFB_HUMAN_upsedyp Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)"	1	3	3	3	2	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	40.4	40.4	40.4	12.294	109	"109"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	25.7	30.3	15.6	15.6	15.6	15.6	"235160000"	53785000	47265000	36828000	33775000	36294000	27213000	33594000	7683600	6752200	5261100	4825000	5184900	3887600	45071000	52158000	45368000	0	44642000	0	2	1	1	0	1	1	6	""	""	""	20	"1101;8992;11688"	"True;True;True"	"1110;9038;11749"	"8023;59744;59745;59746;59747;59748;59749;59750;59751;59752;59753;59754;77967"	"12033;83298;83299;83300;83301;83302;108883"	"12033;83302;108883"	""	""
"P01133"	"P01133upsedyp|EGF_HUMAN_upsedyp"	"1"	"1"	"1"	">P01133upsedyp|EGF_HUMAN_upsedyp Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.1	24.1	24.1	6.3532	54	"54"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	24.1	24.1	24.1	24.1	24.1	24.1	"301050000"	64617000	58229000	65698000	35654000	36247000	40604000	150520000	32308000	29115000	32849000	17827000	18123000	20302000	0	0	0	0	0	40030000	1	2	2	1	1	1	8	""	""	""	21	"13440"	"True"	"13511"	"90390;90391;90392;90393;90394;90395"	"127068;127069;127070;127071;127072;127073;127074;127075"	"127075"	""	""
"P01344"	"P01344upsedyp|IGF2_HUMAN_upsedyp"	"1"	"1"	"1"	">P01344upsedyp|IGF2_HUMAN_upsedyp Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.9	23.9	23.9	7.4754	67	"67"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	23.9	23.9	23.9	23.9	23.9	23.9	"555200000"	121870000	114970000	113460000	63339000	70823000	70744000	185070000	40623000	38322000	37820000	21113000	23608000	23581000	107940000	107490000	141700000	72779000	79645000	77963000	3	2	4	2	2	2	15	""	""	""	22	"9911"	"True"	"9962"	"65990;65991;65992;65993;65994;65995;65996;65997;65998;65999;66000;66001"	"91579;91580;91581;91582;91583;91584;91585;91586;91587;91588;91589;91590;91591;91592;91593;91594;91595;91596"	"91594"	""	""
"P01375"	"P01375upsedyp|TNFA_HUMAN_upsedyp"	"5"	"5"	"5"	">P01375upsedyp|TNFA_HUMAN_upsedyp Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)"	1	5	5	5	5	5	4	4	4	4	5	5	4	4	4	4	5	5	4	4	4	4	61.1	61.1	61.1	17.352	157	"157"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	61.1	61.1	47.8	45.2	45.2	45.2	"591830000"	154770000	133800000	124560000	61312000	50808000	66587000	59183000	15477000	13380000	12456000	6131200	5080800	6658700	154980000	139900000	131370000	72907000	65907000	65285000	11	8	10	7	5	6	47	""	""	""	23	"1756;2880;4355;11760;12806"	"True;True;True;True;True"	"1768;2895;4375;11821;12874"	"12288;12289;12290;12291;12292;19381;19382;19383;19384;19385;19386;29055;29056;29057;29058;29059;29060;29061;29062;29063;29064;78386;78387;78388;85785;85786;85787;85788;85789;85790"	"17699;17700;17701;27447;27448;27449;27450;27451;27452;27453;27454;27455;27456;27457;27458;27459;27460;40912;40913;40914;40915;40916;40917;40918;40919;109446;109447;109448;109449;109450;109451;109452;120615;120616;120617;120618;120619;120620;120621;120622;120623;120624;120625;120626;120627;120628;120629;120630;120631"	"17700;27450;40918;109451;120625"	""	""
"P01579"	"P01579upsedyp|IFNG_HUMAN_upsedyp"	"1"	"1"	"1"	">P01579upsedyp|IFNG_HUMAN_upsedyp Interferon Gamma (Chain 23-166) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.1	9.1	9.1	16.776	143	"143"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.1	9.1	9.1	9.1	9.1	9.1	"222610000"	44124000	49618000	47786000	24871000	26405000	29802000	44521000	8824800	9923600	9557300	4974100	5281000	5960300	0	0	0	0	0	29380000	2	2	2	2	2	1	11	""	""	""	24	"7414"	"True"	"7445"	"49284;49285;49286;49287;49288;49289"	"68980;68981;68982;68983;68984;68985;68986;68987;68988;68989;68990"	"68987"	""	""
"P02144"	"P02144upsedyp|MYG_HUMAN_upsedyp"	"1"	"1"	"1"	">P02144upsedyp|MYG_HUMAN_upsedyp Myoglobin (Chain 2-154) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.8	9.8	9.8	17.052	153	"153"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	9.8	9.8	9.8	9.8	9.8	9.8	"679880000"	162710000	193480000	124610000	68907000	59952000	70227000	75543000	18079000	21498000	13845000	7656400	6661400	7803000	0	209110000	150310000	0	0	63210000	3	3	5	4	3	3	21	""	""	""	25	"12255"	"True"	"12318"	"81878;81879;81880;81881;81882;81883;81884;81885;81886;81887;81888;81889;81890"	"114622;114623;114624;114625;114626;114627;114628;114629;114630;114631;114632;114633;114634;114635;114636;114637;114638;114639;114640;114641;114642"	"114631"	""	""
"P02741"	"P02741upsedyp|CRP_HUMAN_upsedyp"	"1"	"1"	"1"	">P02741upsedyp|CRP_HUMAN_upsedyp C-reactive protein (Chain 19-224) - Homo sapiens (Human)"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	23.251	208	"208"	0.008218	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	4.8	4.8	4.8	4.8	4.8	4.8	"72798000"	NA	16517000	18393000	13255000	12238000	12395000	12133000	0	2752900	3065500	2209100	2039700	2065800	0	0	0	0	0	12220000	1	1	2	1	0	0	5	""	""	""	26	"4585"	"True"	"4606"	"30727;30728;30729;30730;30731;30732"	"43455;43456;43457;43458;43459;43460"	"43460"	""	""
"P02753"	"P02753upsedyp|RET4_HUMAN_upsedyp"	"6"	"6"	"6"	">P02753upsedyp|RET4_HUMAN_upsedyp Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3"	1	6	6	6	6	5	5	3	4	4	6	5	5	3	4	4	6	5	5	3	4	4	46.8	46.8	46.8	23.01	201	"201"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	46.8	35.8	35.8	19.4	24.4	24.4	"669880000"	126490000	133370000	142880000	90384000	90262000	86490000	66988000	12649000	13337000	14288000	9038400	9026200	8649000	143240000	139360000	153420000	82686000	100960000	83377000	8	8	8	3	5	4	36	""	""	""	27	"4299;6225;6237;6466;9530;14018"	"True;True;True;True;True;True"	"4319;6252;6264;6496;9579;14089"	"28675;41414;41415;41416;41417;41418;41419;41420;41421;41422;41423;41482;41483;41484;41485;41486;43061;43062;43063;43064;43065;43066;63309;63310;63311;63312;63313;94125;94126;94127;94128;94129;94130"	"40462;40463;58179;58180;58181;58182;58183;58184;58185;58186;58187;58188;58189;58190;58253;58254;58255;58256;58257;60466;60467;60468;60469;60470;60471;60472;60473;60474;87952;87953;87954;87955;132147;132148;132149;132150;132151;132152;132153;132154;132155;132156;132157"	"40463;58179;58254;60471;87955;132157"	"13"	"91"
"P02787"	"P02787upsedyp|TRFE_HUMAN_upsedyp"	"26"	"26"	"26"	">P02787upsedyp|TRFE_HUMAN_upsedyp Serotransferrin (Chain 20-698) - Homo sapiens (Human)"	1	26	26	26	25	26	25	21	24	21	25	26	25	21	24	21	25	26	25	21	24	21	50.2	50.2	50.2	75.181	679	"679"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	48.2	50.2	47.7	41.2	46.8	38.7	"4134500000"	9.56e+08	913750000	942310000	435170000	467290000	419950000	103360000	23900000	22844000	23558000	10879000	11682000	10499000	936290000	945320000	1.031e+09	462200000	488430000	480740000	48	45	48	26	30	29	226	""	""	""	28	"133;843;1093;1161;1272;1419;1577;2033;2185;2192;2363;2374;3126;4671;4678;4953;5205;8038;8225;8677;9848;9885;9977;10962;11105;13731"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"135;851;1102;1171;1282;1429;1587;2045;2197;2204;2376;2387;3141;4692;4699;4975;5227;8070;8262;8263;8720;9898;9935;10029;11018;11161;11162;13802"	"976;977;978;979;980;981;6131;6132;6133;6134;6135;7963;7964;7965;7966;7967;8457;8458;8459;8460;8461;8462;9163;9164;9165;9166;9167;9168;9169;9170;9171;9172;9173;10091;10092;10093;10094;10095;11150;11151;11152;11153;11154;11155;11156;11157;11158;11159;11160;11161;11162;14057;14058;14059;14060;14061;14062;15073;15074;15075;15076;15123;15124;15125;16183;16184;16185;16186;16187;16188;16189;16190;16191;16192;16193;16194;16253;16254;16255;16256;16257;16258;21324;21325;21326;21327;21328;21329;31297;31298;31299;31300;31301;31302;31303;31304;31305;31306;31307;31342;31343;31344;31345;31346;33118;33119;33120;33121;33122;34645;34646;34647;34648;34649;34650;53644;53645;53646;53647;53648;54733;54734;54735;54736;54737;54738;54739;54740;54741;54742;57598;57599;57600;57601;57602;57603;57604;57605;57606;65549;65550;65551;65552;65553;65554;65555;65556;65557;65558;65559;65560;65561;65791;65792;65793;65794;65795;65796;65797;66439;66440;66441;66442;66443;66444;72830;72831;72832;72833;74009;74010;74011;74012;74013;74014;74015;74016;92318;92319;92320;92321;92322;92323"	"1441;1442;1443;1444;1445;1446;9194;9195;9196;9197;9198;9199;11959;11960;11961;11962;11963;12566;12567;12568;12569;12570;12571;12572;13568;13569;13570;13571;13572;13573;13574;13575;14725;14726;14727;14728;14729;14730;14731;16243;16244;16245;16246;16247;16248;16249;16250;16251;16252;16253;20081;20082;20083;20084;20085;21494;21495;21496;21590;21591;21592;21593;21594;23139;23140;23141;23142;23143;23144;23145;23146;23147;23148;23149;23150;23151;23152;23153;23154;23155;23237;23238;23239;23240;23241;23242;23243;23244;23245;23246;23247;23248;23249;30431;30432;30433;30434;30435;30436;30437;30438;30439;30440;30441;30442;30443;44131;44132;44133;44134;44135;44136;44137;44138;44139;44140;44141;44142;44143;44144;44145;44146;44190;44191;44192;44193;46882;46883;46884;46885;48889;48890;48891;48892;48893;48894;75176;75177;76419;76420;76421;76422;76423;76424;76425;76426;76427;76428;76429;76430;76431;76432;76433;76434;80210;80211;80212;80213;80214;80215;80216;80217;80218;80219;80220;80221;90873;90874;90875;90876;90877;90878;90879;90880;90881;90882;90883;90884;90885;90886;90887;90888;90889;90890;90891;90892;90893;90894;90895;90896;90897;90898;90899;90900;90901;90902;90903;90904;90905;90906;90907;90908;90909;90910;90911;91269;91270;91271;91272;91273;91274;91275;91276;91277;91278;91279;91280;91281;91282;92165;92166;92167;92168;92169;92170;92171;101526;101527;101528;101529;103157;103158;103159;103160;103161;103162;129673;129674;129675;129676"	"1446;9197;11963;12569;13572;14725;16249;20085;21495;21594;23142;23248;30438;44140;44190;46885;48894;75177;76431;80215;90907;91272;92171;101529;103157;129674"	"14;15;16"	"313;464;499"
